train_shift,accuracy,saturated_weights,zero_weights
1.500000000000000000e+01,7.940000000000000391e-01,2.334183673469387640e-02,3.022959183673469552e-02
1.600000000000000000e+01,8.434000000000000385e-01,5.612244897959183312e-03,3.456632653061224303e-02
1.700000000000000000e+01,8.771999999999999797e-01,1.275510204081632768e-04,4.005102040816326675e-02
1.800000000000000000e+01,8.814999999999999503e-01,0.000000000000000000e+00,5.076530612244897767e-02
1.900000000000000000e+01,7.759000000000000341e-01,0.000000000000000000e+00,8.290816326530611735e-02
2.000000000000000000e+01,6.980000000000000093e-02,0.000000000000000000e+00,7.933673469387754473e-02
2.100000000000000000e+01,6.980000000000000093e-02,0.000000000000000000e+00,7.933673469387754473e-02
2.200000000000000000e+01,6.980000000000000093e-02,0.000000000000000000e+00,7.933673469387754473e-02
