training_images,accuracy
1.000000000000000000e+03,6.945000000000000062e-01
5.000000000000000000e+03,8.364000000000000323e-01
1.000000000000000000e+04,8.539999999999999813e-01
2.000000000000000000e+04,8.650999999999999801e-01
4.000000000000000000e+04,8.667000000000000259e-01
5.500000000000000000e+04,8.817000000000000393e-01
